player_name,player_id,total_pitches,ba,slg,woba,obp,hrs,doubles,triples,hits,abs,Team,Pos,Age,G,R,RBI,SB,CS,BB,SO,SH,SF,HBP,OPS
Julio Rodríguez,677594,2521,0.267,0.474,0.341,0.324,32,31,4,174,652,SEA,OF,24,160,106,95,30,6,44,152,0,2,12,0.798
Francisco Lindor,596019,2952,0.267,0.466,0.35,0.346,31,35,0,172,644,NYM,SS,32,160,117,86,31,6,65,131,0,7,16,0.812
Elly De La Cruz,682829,2718,0.264,0.44,0.333,0.336,22,31,7,166,629,CIN,SS,23,162,102,86,37,8,67,181,0,1,2,0.776
Brent Rooker,667670,2590,0.262,0.479,0.349,0.335,30,40,3,164,626,ATH,OF,31,162,92,89,6,1,65,155,0,2,5,0.814
Steven Kwan,680757,2794,0.272,0.374,0.31,0.33,11,29,1,170,625,CLE,OF,28,156,81,56,21,5,55,60,3,7,3,0.704
Pete Alonso,624413,2825,0.272,0.524,0.368,0.347,38,41,1,170,624,NYM,1B,30,162,87,126,1,2,61,162,0,9,15,0.871
Matt Olson,621566,3172,0.272,0.484,0.366,0.366,29,41,2,170,624,ATL,1B,31,162,98,95,1,0,91,176,0,5,4,0.85
Bobby Witt Jr.,677951,2542,0.295,0.501,0.36,0.351,23,47,6,184,623,KC,SS,25,157,99,88,38,9,49,125,0,7,8,0.852
Vinnie Pasquantino,686469,2588,0.264,0.475,0.34,0.323,32,33,1,164,621,KC,1B,28,160,72,113,1,0,49,107,0,5,7,0.798
Jarren Duran,680776,2631,0.256,0.442,0.335,0.332,16,41,13,159,620,BOS,OF,29,157,86,84,24,6,60,169,1,3,12,0.774
Luis Arraez,650333,2468,0.292,0.392,0.313,0.327,8,30,4,181,620,SD,1B,28,154,66,61,11,4,34,21,12,7,2,0.719
Heliot Ramos,671218,2665,0.256,0.4,0.319,0.328,21,24,1,159,620,SF,OF,26,157,85,69,6,4,52,158,0,6,17,0.728
Manny Machado,592518,2666,0.275,0.46,0.341,0.335,27,33,0,169,615,SD,3B,33,159,91,95,14,3,55,131,0,5,3,0.795
Randy Arozarena,668227,2881,0.238,0.426,0.332,0.334,27,32,1,146,613,SEA,OF,30,160,95,76,31,6,64,191,0,5,27,0.76
Trevor Story,596115,2477,0.263,0.433,0.32,0.308,25,29,0,161,612,BOS,SS,33,157,91,96,31,1,33,176,1,1,7,0.741
Shohei Ohtani,660271,2940,0.282,0.622,0.418,0.392,55,25,9,172,611,LAD,DH,31,158,146,102,20,6,109,187,0,2,3,1.014
Michael Harris II,671739,2181,0.249,0.409,0.289,0.268,20,26,6,152,611,ATL,OF,24,160,55,86,20,6,16,128,4,7,3,0.677
Kyle Schwarber,656941,3086,0.24,0.563,0.391,0.365,56,23,2,145,604,PHI,DH,32,162,111,132,10,2,108,197,0,1,11,0.928
Ozzie Albies,645277,2411,0.24,0.365,0.295,0.306,16,23,2,145,603,ATL,2B,28,157,74,74,14,3,55,94,0,5,4,0.671
Junior Caminero,691406,2498,0.264,0.535,0.357,0.311,45,28,0,159,602,TB,3B,22,154,93,110,7,1,41,125,0,7,3,0.846
Riley Greene,682985,2710,0.258,0.493,0.343,0.313,36,31,1,155,600,DET,OF,25,157,84,111,2,1,46,201,0,5,4,0.806
